movement_id,startX,startY,endX,endY,deltaX,deltaY,distance,duration,velocity
1,98,3,222,74,124,71,142.888,0.0,0
2,222,74,286,106,64,32,71.554,0.0,0
3,286,106,349,134,63,28,68.942,0.0,0
4,349,134,537,250,188,116,220.907,0.0,0
5,537,250,591,284,54,34,63.812,0.0,0
6,591,284,633,309,42,25,48.877,0.0,0
7,633,309,666,325,33,16,36.674,0.0,0
8,666,325,692,337,26,12,28.636,0.0,0
9,692,337,721,354,29,17,33.615,0.0,0
10,721,354,737,362,16,8,17.889,0.0,0
11,737,362,748,367,11,5,12.083,0.0,0
12,748,367,760,372,12,5,13.0,0.0,0
13,760,372,771,377,11,5,12.083,0.0,0
14,771,377,779,380,8,3,8.544,0.0,0
15,779,380,788,382,9,2,9.22,0.0,0
16,788,382,793,384,5,2,5.385,0.0,0
17,793,384,797,387,4,3,5.0,0.0,0
18,797,387,799,388,2,1,2.236,0.0,0
19,799,388,802,388,3,0,3.0,0.0,0
20,802,388,807,391,5,3,5.831,0.0,0
21,807,391,817,397,10,6,11.662,0.0,0
22,817,397,825,401,8,4,8.944,0.0,0
23,825,401,831,403,6,2,6.325,0.0,0
24,831,403,832,403,1,0,1.0,0.0,0
25,832,403,832,398,0,-5,5.0,0.0,0
26,832,398,831,391,-1,-7,7.071,0.0,0
27,831,391,828,382,-3,-9,9.487,0.0,0
28,828,382,827,377,-1,-5,5.099,0.0,0
29,827,377,827,374,0,-3,3.0,0.0,0
30,827,374,826,371,-1,-3,3.162,0.0,0
31,826,371,826,370,0,-1,1.0,0.0,0
32,826,370,826,369,0,-1,1.0,0.0,0
33,826,369,826,368,0,-1,1.0,0.0,0
34,826,368,826,368,0,0,0.0,0.0,0
35,826,368,826,368,0,0,0.0,0.0,0
36,826,368,826,368,0,0,0.0,0.0,0
37,826,368,826,370,0,2,2.0,0.0,0
38,826,370,826,372,0,2,2.0,0.0,0
39,826,372,826,374,0,2,2.0,0.0,0
40,826,374,826,385,0,11,11.0,0.0,0
41,826,385,826,390,0,5,5.0,0.0,0
42,826,390,826,403,0,13,13.0,0.0,0
43,826,403,826,406,0,3,3.0,0.0,0
44,826,406,826,408,0,2,2.0,0.0,0
45,826,408,825,410,-1,2,2.236,0.0,0
46,825,410,824,411,-1,1,1.414,0.0,0
47,824,411,824,412,0,1,1.0,0.0,0
48,824,412,824,413,0,1,1.0,0.0,0
49,824,413,824,414,0,1,1.0,0.0,0
50,824,414,824,415,0,1,1.0,0.0,0
51,824,415,824,417,0,2,2.0,0.0,0
52,824,417,824,419,0,2,2.0,0.0,0
53,824,419,823,423,-1,4,4.123,0.0,0
54,823,423,822,424,-1,1,1.414,0.0,0
55,822,424,822,427,0,3,3.0,0.0,0
56,822,427,822,428,0,1,1.0,0.0,0
57,822,428,822,428,0,0,0.0,0.0,0
58,822,428,820,428,-2,0,2.0,0.0,0
59,820,428,818,428,-2,0,2.0,0.0,0
60,818,428,818,428,0,0,0.0,0.0,0
61,818,428,817,428,-1,0,1.0,0.0,0
62,817,428,816,428,-1,0,1.0,0.0,0
63,816,428,816,436,0,8,8.0,0.0,0
64,816,436,812,441,-4,5,6.403,0.0,0
65,812,441,810,444,-2,3,3.606,0.0,0
66,810,444,810,449,0,5,5.0,0.0,0
67,810,449,810,454,0,5,5.0,0.0,0
68,810,454,807,460,-3,6,6.708,0.0,0
69,807,460,807,463,0,3,3.0,0.0,0
70,807,463,807,464,0,1,1.0,0.0,0
1,178,9,279,44,101,35,106.892,0.0,0
2,279,44,332,56,53,12,54.342,0.0,0
3,332,56,380,69,48,13,49.729,0.0,0
4,380,69,585,156,205,87,222.697,0.0,0
5,585,156,611,170,26,14,29.53,0.0,0
6,611,170,676,200,65,30,71.589,0.0,0
7,676,200,707,214,31,14,34.015,0.0,0
8,707,214,729,227,22,13,25.554,0.0,0
9,729,227,751,242,22,15,26.627,0.0,0
10,751,242,769,256,18,14,22.804,0.0,0
11,769,256,783,271,14,15,20.518,0.0,0
12,783,271,792,280,9,9,12.728,0.0,0
13,792,280,794,284,2,4,4.472,0.0,0
14,794,284,794,284,0,0,0.0,0.0,0
15,794,284,794,285,0,1,1.0,0.0,0
16,794,285,795,288,1,3,3.162,0.0,0
17,795,288,797,298,2,10,10.198,0.0,0
18,797,298,799,303,2,5,5.385,0.0,0
19,799,303,802,307,3,4,5.0,0.0,0
20,802,307,802,308,0,1,1.0,0.0,0
21,802,308,801,309,-1,1,1.414,0.0,0
22,801,309,800,311,-1,2,2.236,0.0,0
